"sample","microbe","Taxonomy","domain","kingdom","phylum","class","order","family","genus","species","counts"
32111,"Acidibrevibacterium.fodinaquatile","d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidibrevibacterium|s__Acidibrevibacterium fodinaquatile","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__Acidibrevibacterium","s__Acidibrevibacterium fodinaquatile",2
33233,"Acinetobacter.haemolyticus","d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter haemolyticus","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","s__Acinetobacter haemolyticus",229
30173,"Acutalibacter.muris","d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Acutalibacter|s__Acutalibacter muris","d__Bacteria","k__unclassified-p__Firmicutes","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Acutalibacter","s__Acutalibacter muris",3
30820,"Akkermansia.glycaniphila","d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia glycaniphila","d__Bacteria","k__unclassified-p__Verrucomicrobia","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__Akkermansia glycaniphila",1716
30945,"Akkermansia.glycaniphila","d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia glycaniphila","d__Bacteria","k__unclassified-p__Verrucomicrobia","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__Akkermansia glycaniphila",19
30295,"Akkermansia.glycaniphila","d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia glycaniphila","d__Bacteria","k__unclassified-p__Verrucomicrobia","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__Akkermansia glycaniphila",738
31673,"Akkermansia.glycaniphila","d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia glycaniphila","d__Bacteria","k__unclassified-p__Verrucomicrobia","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__Akkermansia glycaniphila",1
30822,"Akkermansia.muciniphila","d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia muciniphila","d__Bacteria","k__unclassified-p__Verrucomicrobia","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__Akkermansia muciniphila",49
30161,"Akkermansia.muciniphila","d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia muciniphila","d__Bacteria","k__unclassified-p__Verrucomicrobia","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__Akkermansia muciniphila",1026
33223,"Akkermansia.muciniphila","d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia muciniphila","d__Bacteria","k__unclassified-p__Verrucomicrobia","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__Akkermansia muciniphila",3098
30163,"Akkermansia.muciniphila","d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia muciniphila","d__Bacteria","k__unclassified-p__Verrucomicrobia","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__Akkermansia muciniphila",470
30171,"Akkermansia.muciniphila","d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia muciniphila","d__Bacteria","k__unclassified-p__Verrucomicrobia","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__Akkermansia muciniphila",3
33297,"Akkermansia.muciniphila","d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia muciniphila","d__Bacteria","k__unclassified-p__Verrucomicrobia","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__Akkermansia muciniphila",1955
33090,"Akkermansia.muciniphila","d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia muciniphila","d__Bacteria","k__unclassified-p__Verrucomicrobia","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__Akkermansia muciniphila",3
33235,"Akkermansia.muciniphila","d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia muciniphila","d__Bacteria","k__unclassified-p__Verrucomicrobia","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__Akkermansia muciniphila",1
31543,"Akkermansia.muciniphila","d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia muciniphila","d__Bacteria","k__unclassified-p__Verrucomicrobia","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__Akkermansia muciniphila",3019
30935,"Akkermansia.muciniphila","d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia muciniphila","d__Bacteria","k__unclassified-p__Verrucomicrobia","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__Akkermansia muciniphila",1
32768,"Akkermansia.muciniphila","d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia muciniphila","d__Bacteria","k__unclassified-p__Verrucomicrobia","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__Akkermansia muciniphila",10354
30305,"Akkermansia.muciniphila","d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia muciniphila","d__Bacteria","k__unclassified-p__Verrucomicrobia","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__Akkermansia muciniphila",11078
33225,"Akkermansia.muciniphila","d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia muciniphila","d__Bacteria","k__unclassified-p__Verrucomicrobia","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__Akkermansia muciniphila",7598
33291,"Akkermansia.muciniphila","d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia muciniphila","d__Bacteria","k__unclassified-p__Verrucomicrobia","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__Akkermansia muciniphila",34
32117,"Akkermansia.muciniphila","d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia muciniphila","d__Bacteria","k__unclassified-p__Verrucomicrobia","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__Akkermansia muciniphila",21
30299,"Akkermansia.muciniphila","d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia muciniphila","d__Bacteria","k__unclassified-p__Verrucomicrobia","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__Akkermansia muciniphila",7
31539,"Akkermansia.muciniphila","d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia muciniphila","d__Bacteria","k__unclassified-p__Verrucomicrobia","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__Akkermansia muciniphila",142
31667,"Akkermansia.muciniphila","d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia muciniphila","d__Bacteria","k__unclassified-p__Verrucomicrobia","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__Akkermansia muciniphila",4
31545,"Akkermansia.muciniphila","d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia muciniphila","d__Bacteria","k__unclassified-p__Verrucomicrobia","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__Akkermansia muciniphila",2429
33088,"Akkermansia.muciniphila","d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia muciniphila","d__Bacteria","k__unclassified-p__Verrucomicrobia","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__Akkermansia muciniphila",482
33086,"Akkermansia.muciniphila","d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia muciniphila","d__Bacteria","k__unclassified-p__Verrucomicrobia","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__Akkermansia muciniphila",270
31675,"Akkermansia.muciniphila","d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia muciniphila","d__Bacteria","k__unclassified-p__Verrucomicrobia","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__Akkermansia muciniphila",45
33229,"Akkermansia.muciniphila","d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia muciniphila","d__Bacteria","k__unclassified-p__Verrucomicrobia","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__Akkermansia muciniphila",1
30937,"Akkermansia.muciniphila","d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia muciniphila","d__Bacteria","k__unclassified-p__Verrucomicrobia","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__Akkermansia muciniphila",19
31679,"Akkermansia.muciniphila","d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia muciniphila","d__Bacteria","k__unclassified-p__Verrucomicrobia","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__Akkermansia muciniphila",7906
