PATIENT_ID	BUFFA_HYPOXIA_SCORE	WINTER_HYPOXIA_SCORE	RAGNUM_HYPOXIA_SCORE
TCGA-G4-6628	19	6	10
TCGA-AG-3592	19	8	14
TCGA-D5-6539	19	12	12
TCGA-DY-A0XA	19	12	14
TCGA-G4-6317	19	14	6
TCGA-AF-A56L	19	14	14
TCGA-NH-A8F8	19	14	14
TCGA-D5-6535	19	16	22
TCGA-CM-5868	19	18	12
TCGA-A6-5667	19	18	14
TCGA-AZ-6607	19	20	8
TCGA-DM-A28H	19	20	14
TCGA-F4-6704	19	20	16
TCGA-D5-6898	19	20	22
TCGA-AG-3902	19	22	12
TCGA-CA-6718	19	22	18
TCGA-D5-6920	19	22	20
TCGA-CM-6677	19	24	18
TCGA-F5-6863	19	26	6
TCGA-AH-6643	19	26	8
TCGA-NH-A50U	19	26	14
TCGA-EI-6885	19	28	12
TCGA-CK-4951	19	28	20
TCGA-DM-A285	19	30	26
TCGA-AY-A8YK	21	8	20
TCGA-G4-6304	21	10	8
TCGA-F4-6809	21	12	8
TCGA-CI-6619	21	12	18
TCGA-DM-A28K	21	16	18
TCGA-CM-6168	21	16	26
TCGA-CK-5916	21	18	16
TCGA-AF-6655	21	22	12
TCGA-DC-5869	21	22	24
TCGA-CM-6676	21	24	8
TCGA-AA-A02Y	21	26	16
TCGA-G4-6626	21	30	10
TCGA-EI-6507	21	30	22
TCGA-G4-6298	21	34	10
TCGA-CA-6719	21	36	10
TCGA-AD-6895	21	36	18
TCGA-D5-6532	23	2	18
TCGA-EF-5830	23	6	20
TCGA-A6-6138	23	8	16
TCGA-DM-A1D7	23	12	10
TCGA-F4-6854	23	12	12
TCGA-CM-4747	23	14	12
TCGA-EI-6513	23	14	18
TCGA-AZ-5407	23	16	10
TCGA-D5-5541	23	16	20
TCGA-DM-A28F	23	16	22
TCGA-G4-6307	23	18	12
TCGA-A6-6650	23	18	14
TCGA-A6-A566	23	18	22
TCGA-CL-4957	23	20	16
TCGA-DM-A1D4	23	20	16
TCGA-CI-6622	23	24	12
TCGA-AF-2693	23	24	16
TCGA-F5-6813	23	24	22
TCGA-F5-6861	23	26	16
TCGA-F4-6703	23	26	22
TCGA-CM-6675	23	28	22
TCGA-CA-5797	23	30	14
TCGA-A6-6140	25	4	22
TCGA-EI-6511	25	6	14
TCGA-D5-6529	25	14	18
TCGA-F4-6856	25	14	24
TCGA-CK-5914	25	16	20
TCGA-F4-6808	25	22	6
TCGA-AA-A01P	25	22	10
TCGA-DC-6682	25	22	14
TCGA-AA-3506	25	22	18
TCGA-DM-A0XF	25	22	18
TCGA-A6-5659	25	22	22
TCGA-DM-A1D0	25	24	10
TCGA-AD-5900	25	24	12
TCGA-G4-6627	25	24	12
TCGA-AA-3655	25	24	14
TCGA-G4-6315	25	24	14
TCGA-F4-6459	25	26	8
TCGA-AG-3725	25	26	12
TCGA-CM-5860	25	26	20
TCGA-D5-5540	25	26	20
TCGA-CK-6747	25	26	22
TCGA-AZ-6600	25	28	8
TCGA-CA-5254	25	28	14
TCGA-CM-6678	25	28	20
TCGA-AA-3492	25	32	14
TCGA-G4-6588	25	38	22
TCGA-AF-2687	25	48	26
TCGA-5M-AATA	27	8	12
TCGA-CM-6674	27	12	12
TCGA-CM-5861	27	14	16
TCGA-D5-6929	27	14	16
TCGA-CA-5256	27	20	16
TCGA-AA-3685	27	20	18
TCGA-A6-5657	27	22	16
TCGA-AD-6963	27	24	16
TCGA-DC-4749	27	26	22
TCGA-AZ-4682	27	28	14
TCGA-DM-A28A	27	28	24
TCGA-CA-6717	27	32	18
TCGA-D5-6931	27	34	26
TCGA-AA-3660	27	36	16
TCGA-DC-5337	27	36	22
TCGA-QG-A5YW	27	40	16
TCGA-CK-4948	27	46	24
TCGA-DC-4745	29	14	12
TCGA-A6-5666	29	18	22
TCGA-AH-6544	29	20	14
TCGA-CK-4950	29	22	14
TCGA-G4-6306	29	22	16
TCGA-EI-6508	29	22	18
TCGA-AA-3712	29	22	20
TCGA-CA-6715	29	22	22
TCGA-F4-6805	29	22	24
TCGA-AD-6888	29	24	14
TCGA-AA-A01Z	29	26	10
TCGA-AA-3675	29	26	20
TCGA-AD-6899	29	26	20
TCGA-G4-6322	29	28	24
TCGA-QG-A5YV	29	30	16
TCGA-D5-6923	29	30	20
TCGA-EI-6917	29	30	24
TCGA-AZ-4684	29	32	20
TCGA-AY-A54L	29	34	18
TCGA-EI-6509	31	16	24
TCGA-DM-A1DA	31	22	18
TCGA-AZ-4615	31	22	22
TCGA-D5-6930	31	26	10
TCGA-A6-5664	31	26	26
TCGA-DY-A1H8	31	28	14
TCGA-AF-3911	31	28	20
TCGA-DM-A288	31	32	12
TCGA-CK-4952	31	34	16
TCGA-A6-5661	31	34	22
TCGA-AF-5654	31	36	22
TCGA-D5-6927	31	36	24
TCGA-AM-5821	31	40	18
TCGA-AY-6197	31	40	24
TCGA-AU-6004	31	44	22
TCGA-D5-6932	33	18	8
TCGA-5M-AAT5	33	18	18
TCGA-AZ-6598	33	22	12
TCGA-CA-5255	33	22	20
TCGA-AA-3663	33	28	18
TCGA-CK-6751	33	28	22
TCGA-F5-6810	33	28	24
TCGA-DY-A1DC	33	32	12
TCGA-A6-2684	33	32	16
TCGA-AA-3495	33	32	20
TCGA-NH-A50T	33	34	18
TCGA-CK-5913	33	34	20
TCGA-D5-5538	33	34	22
TCGA-G4-6309	33	36	20
TCGA-A6-4105	33	38	26
TCGA-AY-5543	35	14	16
TCGA-AZ-4315	35	18	24
TCGA-DT-5265	35	26	12
TCGA-DM-A28M	35	26	14
TCGA-NH-A6GB	35	26	14
TCGA-A6-6781	35	28	8
TCGA-5M-AAT4	35	32	16
TCGA-D5-6537	35	32	22
TCGA-AD-6890	35	36	18
TCGA-A6-6780	35	36	22
TCGA-AD-6965	35	36	22
TCGA-CM-4744	35	38	14
TCGA-CM-4743	35	38	18
TCGA-D5-6531	35	38	18
TCGA-AZ-4313	35	40	16
TCGA-AG-4021	35	40	22
TCGA-DM-A0XD	35	40	22
TCGA-AH-6897	35	40	26
TCGA-AD-6548	35	42	26
TCGA-DM-A280	35	44	18
TCGA-CM-4751	35	44	22
TCGA-G4-6586	37	26	16
TCGA-AY-6386	37	30	28
