"sample","IFNg_18","WNT","Angiogenesis","Adenosine","Auslander","Chaurio","Chemokine","Cytotoxic","Effector_T_Cell","Glycolysis","gMDSC","Huang_NRS","Hypoxia","IFNg_6","IFNg_Effector_T_Cells","Ipi_neoadjuvant","MHC_I","MHC_II","mMDSC","MYC","Ock_Immune_Sig_Score","Pan","Proliferation","Ras","Roh_Immune_Score","Rooney_Immune_Cytolytic","Stroma","TIP_Hot","TLS","LKB1_loss","buffa.score","MitoScore","SCN"
"SL204951",-0.297886845549739,0.768545904419256,-0.221092924455693,0.140445178829527,0.349572694131671,-0.269606886842482,-0.156813864839795,-0.354177219468969,-0.253843067005624,0.93790497896417,0.394228123460516,-0.0401066369506187,0.235027779893522,-0.33658612539483,-0.253321016770332,-0.288074348992753,-0.103078868686874,-0.451298904292364,-0.216817592928081,1.396474405809,0.0574154485879977,1.03281937032378,1.38663673058815,0.419665122466949,-0.279574127989433,-0.280725011273954,0.18960765340452,-0.265837908739729,-0.182151107770028,-0.0998814019917908,32,11.2528189789644,-45309.2688835123
"SL204955",-0.45519343198363,-0.323280505713116,0.685645799738763,0.5383764180605,-0.297622849451428,-0.387444749831343,-0.246866643084932,-0.509685024835106,-0.431471509307287,0.700781308769569,-0.268081793298517,-0.300207080303634,1.02389996395529,-0.423610910764765,-0.401473606083089,-0.425664676532093,-0.353733290120627,-0.535248551999793,-0.482658717541962,-0.122275890600986,0.00421140744461255,1.37235845639872,1.06075332493359,-0.44463499608936,-0.410389455602792,-0.450965378667119,0.522779604347554,-0.406229286854536,-0.31042111345898,1.05157152924552,32,11.0771710764368,-204083.471802803
"SL204959",-0.273372009883493,1.05415889543183,-0.0345211722902958,0.132376859422535,-0.36882291660837,-0.392127147475691,-0.291068423616843,-0.484014500846376,-0.428089682466733,0.0964795760636109,-0.0304978621005975,-0.320240497719497,-0.0749140332223778,-0.410322193849851,-0.392541278289223,-0.369779604296336,-0.389542808384194,-0.448033236952548,-0.38887200714547,0.557856665004502,-0.0592666376592438,0.402742903302606,0.234029598989323,0.643435865533391,-0.361253232271002,-0.459699709218779,-0.262098334395236,-0.35092771293148,-0.31098787410353,0.000925250362933293,24,10.7059189226843,-116274.119140561
"SL204960",-0.213147185377492,0.0930433879438007,-0.309470843652712,-0.384136084471084,-0.230385725968914,-0.145682957861429,-0.0583925263552238,-0.152882483897951,-0.250697605305485,-0.404802932605011,-0.183529094325599,-0.204417891981587,-0.459965885342806,-0.414672086279123,-0.264341366743953,-0.212780393079954,-0.602450186640199,-0.414376286562577,-0.161713796069664,-0.301620209941712,-0.300276751297897,-0.366424578497735,-0.227092591936481,-0.253682632878417,-0.357454985299056,-0.250583177115503,-0.291831563736976,-0.201524454748664,0.0407560360558419,-0.283005721102323,-34,9.59549682588256,-56728.9891812807
"SL204966",0.0557715634182005,-0.340436339066297,-0.36908891504733,-0.450025747314252,0.113803389812755,1.13374998111633,-0.0512544886097101,0.0701167079422985,-0.0452053003893322,-0.573170100048725,-0.255519035803517,-0.0968395929725724,-0.52419054967445,-0.184294218610142,-0.0800861689387662,0.586412116984008,-0.543029821888061,0.432715546113692,0.12366263306034,-0.928077443734392,-0.293428934961832,-0.938260108790427,-0.771525635345803,-0.554122641084128,0.079198764620281,-0.0301777456037346,-0.293401885989206,0.0586228836346834,0.157688560748401,-0.485021725584236,-44,8.96162316365184,-46219.1564255485
"SL204967",0.0996780524925466,0.678828271407692,-0.380404547367232,-0.204160039161312,-0.0144777717037848,-0.08837515961532,-0.181547091176184,0.184012573748582,0.0570866356627753,-0.109074764582854,-0.0521918535088637,0.105254663473384,-0.150947711509985,-0.0608274719900991,-0.0323701798742853,-0.0841370548228476,-0.351098863798397,0.115701228309091,0.2490284219696,0.391120756240558,-0.113976324626391,0.0372081164072196,0.0578655301377896,-0.037645117916827,-0.0914510119957654,0.114072876771981,-0.341739834193291,0.0160622169132975,-0.212861680208665,-0.280105592160531,-10,10.0692174834496,-8237.89832695515
"SL204968",-0.397357986677999,0.387691441584537,-0.398083876940109,-0.369301146034376,-0.462760487270024,-0.356329131036563,-0.3282295815713,-0.424283119206172,-0.398276331395799,-0.400197087993796,-0.330742073385755,-0.361812377820732,-0.484360257174456,-0.39706271024332,-0.374266817532177,-0.381083216821067,-0.482738663734427,-0.424872715018201,-0.358883631303069,-0.43079454682694,-0.455026561445425,-0.688760172340065,-0.425460966395094,-0.366204711386552,-0.423809299879692,-0.432622772249391,-0.314073763277134,-0.349103131129527,-0.280617079162926,-0.314747857436118,-32,10.2193415296759,-79654.9606426132
"SL218335",0.0711303402202985,-0.241164107905647,0.191179277526757,-0.284990645887929,0.0468445735180653,1.23443574040685,-0.0736270423138246,0.181785599936951,-0.0311186117687766,-0.250186997921145,0.188185589588055,0.0362374743446466,0.0573314650621431,-0.155533248075963,0.00303895412460549,0.660065261934667,-0.247417216554686,-0.394194057580634,0.0766987004654427,-0.394271235412272,-0.12171173121472,-0.417290185542899,-0.461241032224599,-0.545521601581126,-0.193077682838291,-0.0878259372023105,-0.214955141726815,0.0572295371918644,0.463099558772414,-0.0484397059618961,-20,9.51049755623302,-4468.84613696386
"SL218336",-0.49017652393897,-0.330289745216549,0.0898554012522469,0.153476462722105,-0.300751349520718,-0.401869967230011,-0.361333939558263,-0.4949228693312,-0.439180257976125,0.360946200285333,-0.375055730986183,0.136133124053645,0.964225947498242,-0.401876946181874,-0.406902053538432,-0.458667487536771,-0.489906158339512,-0.490880115730134,-0.499946921475837,0.687992178291005,-0.289470714086862,-0.135957288868207,0.195850519217761,-0.389843355579916,-0.406361438059208,-0.456737410454423,1.39890203982789,-0.428770192307456,-0.344504687078035,-0.404875102101624,38,11.1036825991651,29319.456128057
"SL218346",-0.306130608859488,1.895024085245,-0.331564341013744,0.0259750856965762,-0.438465439933564,-0.371472437493432,-0.358399589912994,-0.469843696799086,-0.255929494105691,0.856216908543152,0.099208602980595,-0.391673201700193,0.347652022633903,-0.40206178262613,-0.280469355624873,-0.344245916297457,-0.22545315861984,-0.533202710895127,-0.529619482117345,2.00368516696012,0.0116018422795291,1.38778208892416,1.5624023856724,0.257483338281984,-0.320661758376579,-0.399154290545485,-0.565889262429305,-0.403300785933857,0.0672687126992007,0.216899527851784,36,11.1113680580198,-40117.3956744204
