Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
DSpakowicz002_10_R153_S10,0,0.00402065679712836,0.00205129546064989,0.0296799963992852,0,0.0371405478361577,0.314028693405247,0,0,0,0.08234522918217,0.0229772780877089,0.319063656043968,0,0.0226407543286596,0.0626166022857482,0.0269795003127346,0,0.0721952749515331,0,0.0042605149090096,0,0.25,0.0877811881857456,1.03819063472867
DSpakowicz002_11_R153_S11,0,0.0504308506295733,0,0,0.130323795490855,0.0082083848067591,0.10234066519935,0.0112768024307083,0,0,0.140722079637892,0,0.207321700404716,0.0338170361559171,0.0136887388657998,0,0.0561418421713096,0,0,0.171138412065099,0.0745896921420223,0,0.98,-0.0533182283639726,1.08811455802797
DSpakowicz002_12_R153_S12,0,0.00203393889077786,0,0,0.0937082238042898,0.0809621763511744,0.107404235735919,0,0,0,0.142981341114246,0.0289293994244865,0.298804596136925,0.0347614253182505,0.0461682588390917,0,0.124712003682094,0,0,0.0395344007027446,0,0,0.76,0.00770909709637456,1.07194214681112
DSpakowicz002_13_R153_S13,0,0.0498802170648558,0,0,0.141833667055571,0,0.0626955882887403,0.0500220830270612,0,0,0.165336980181227,0,0.395339705705386,0.0507254556465129,0.00326910355721527,0.000814161418378382,0,0,0,0.0250773940849968,0.0550056439700556,0,0.94,-0.0292572784748571,1.08836829610527
DSpakowicz002_14_R153_S14,0,0.0178600695529145,0,0,0.0633732726913588,0.221164744224937,0,0,0.0184896494543273,0,0.0722726574748652,0.00736527511741704,0.279164788255629,0.116247387168322,0.0548515124370603,0,0.0613064328256012,0,0.0348107666609653,0,0.0530934441366026,0,0.86,-0.0130142491928827,1.08198710689334
DSpakowicz002_16_R153_S16,0,0.100707623419552,0,0,0.138476941363063,0.114597473372061,0,0.0478586996805484,0,0,0.181372944325705,0,0.273754415008861,0.0707857969723087,0.0264428554227318,0,0,0,0,0.0262192680771019,0.0197839823580675,0,0.98,-0.0583283391099754,1.1095438825048
DSpakowicz002_17_R153_S17,0,0.0974702147859162,0,0,0.108554886655177,0.185634552208313,0,0.0223464960873583,0,0,0.224735774580497,0,0.142178645798089,0.154496458079343,0.0220195301022397,0,0,0,0,0,0.0425634417030674,0,0.97,-0.0448379768906463,1.12396935596136
DSpakowicz002_18_R153_S18,0,0,0,0,0.0660798381473877,0.178262209772407,0,0.00211352485949006,0,0,0.196889106369957,0,0.268786059014901,0.0114026454869926,0.0249279633625505,0,0.0492769425208242,0,0,0.183491692944715,0.0187700175207748,0,0.95,-0.032150109991216,1.09826371694705
DSpakowicz002_19_R153_S19,0,0.0999812154979226,0,0,0.129326247562048,0,0.167706119094668,0,0,0,0.183105033339572,0,0.163571110493266,0.0480597844132376,0,0,0.0615266002384809,0,0,0.123476572555825,0.0232473168049797,0,0.85,-0.0086499984041551,1.07922828810863
DSpakowicz002_1_R153_S1,0,0.0215652724804899,0,0,0.218047178172171,0.249272891304455,0.0574710833250383,0,0,0,0.211659900527718,0,0.14682130976626,0.0951623644238671,0,0,0,0,0,0,0,0,0.98,-0.0488365020123925,1.15017596257476
