"X..Gene.Family","DSpakowicz002_1_R153_S1","DSpakowicz002_11_R153_S11","DSpakowicz002_12_R153_S12","DSpakowicz002_13_R153_S13","DSpakowicz002_14_R153_S14","DSpakowicz002_15_R153_S15","DSpakowicz002_16_R153_S16","DSpakowicz002_17_R153_S17","DSpakowicz002_18_R153_S18","DSpakowicz002_19_R153_S19","DSpakowicz002_2_R153_S2","DSpakowicz002_3_R153_S3","DSpakowicz002_5_R153_S5","DSpakowicz002_6_R153_S6","DSpakowicz002_7_R153_S7","DSpakowicz002_8_R153_S8","DSpakowicz002_9_R153_S9"
"UniRef90_W4TVW9|g__Cutibacterium.s__Cutibacterium_acnes",12.6213338373,NA,NA,NA,NA,NA,NA,NA,NA,12.5685846116,NA,NA,NA,NA,NA,NA,NA
"UniRef90_A0A2B7JRU6",12.6191113683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5096076084
"UniRef90_A0A2B7JRU6|g__Cutibacterium.s__Cutibacterium_acnes",12.6191113683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5096076084
"UniRef90_W4U768",12.6148307138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_W4U768|g__Cutibacterium.s__Cutibacterium_acnes",12.6148307138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_W4U7Q0",12.5972877279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5264875142
"UniRef90_W4U7Q0|g__Cutibacterium.s__Cutibacterium_acnes",12.5972877279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5264875142
"UniRef90_Q6AB14",12.5960913866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9790271968
"UniRef90_Q6AB14|g__Cutibacterium.s__Cutibacterium_acnes",12.5960913866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9790271968
"UniRef90_Q79VK1",12.5786163522,NA,NA,NA,NA,NA,NA,NA,12.6582278481,NA,NA,NA,NA,6.711409396,12.2699386503,NA,NA
"UniRef90_Q79VK1|unclassified",12.5786163522,NA,NA,NA,NA,NA,NA,NA,12.6582278481,NA,NA,NA,NA,6.711409396,12.2699386503,NA,NA
"UniRef90_W4U4U6",12.5747086059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_W4U4U6|g__Cutibacterium.s__Cutibacterium_acnes",12.5747086059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_W4U7Z8",12.5709224309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_W4U7Z8|g__Cutibacterium.s__Cutibacterium_acnes",12.5709224309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_W4U204",12.5664062459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2324941045
"UniRef90_W4U204|g__Cutibacterium.s__Cutibacterium_acnes",12.5664062459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2324941045
"UniRef90_W4TZ97",12.561912787,NA,NA,10.6108966451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3860401042
"UniRef90_W4TZ97|g__Cutibacterium.s__Cutibacterium_acnes",12.561912787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3860401042
"UniRef90_E6D3U8",12.5360786451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_E6D3U8|g__Cutibacterium.s__Cutibacterium_acnes",12.5360786451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_W4TWQ5",12.5315627897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_W4TWQ5|unclassified",12.5315627897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_W4UC53",12.5131597163,NA,4.5300171351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5033984571,NA,NA,NA
"UniRef90_W4UC53|unclassified",12.5131597163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5033984571,NA,NA,NA
"UniRef90_A0A0V0SP86",12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3456790123
"UniRef90_A0A0V0SP86|unclassified",12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3456790123
"UniRef90_A0A0V1KH34",12.5,NA,12.8205128205,12.5,NA,75.3205128205,NA,12.5,NA,12.8205128205,12.5,25,24.6913580247,50.1582278481,NA,12.5,NA
"UniRef90_A0A0V1KH34|unclassified",12.5,NA,12.8205128205,12.5,NA,75.3205128205,NA,12.5,NA,12.8205128205,12.5,25,24.6913580247,50.1582278481,NA,12.5,NA
"UniRef90_A0A3D8Z629",12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_A0A3D8Z629|unclassified",12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_UPI00096C38CB",12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.0532813634,NA,30.603636709,NA
"UniRef90_UPI00096C38CB|unclassified",12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.0532813634,NA,30.603636709,NA
"UniRef90_W4U2R4",12.4857952657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.6965587124
"UniRef90_W4U2R4|unclassified",12.4857952657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_W4TRX5",12.480267881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_W4TRX5|g__Cutibacterium.s__Cutibacterium_acnes",12.480267881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_A0A3D8ZQM9",12.4710608153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9310931459
"UniRef90_A0A3D8ZQM9|g__Cutibacterium.s__Cutibacterium_acnes",12.4710608153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9310931459
"UniRef90_A0A3A8VV80",12.4673411098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.1373369557
"UniRef90_A0A3A8VV80|g__Cutibacterium.s__Cutibacterium_acnes",12.4673411098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.1373369557
"UniRef90_A0A2B7ICS8",12.4627630187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_A0A2B7ICS8|g__Cutibacterium.s__Cutibacterium_acnes",12.4627630187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_W4UEK9",12.4555383089,NA,NA,NA,NA,NA,10.3520873418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_W4UEK9|g__Cutibacterium.s__Cutibacterium_acnes",12.4555383089,NA,NA,NA,NA,NA,10.3520873418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_A0A2C6LMC7",12.4536324046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3275704101,NA
"UniRef90_A0A2C6LMC7|g__Cutibacterium.s__Cutibacterium_acnes",12.4536324046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3275704101,NA
"UniRef90_W4UH47",12.4340599331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.412981424
"UniRef90_W4UH47|unclassified",12.4340599331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_U7IQJ4",12.4269599518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_U7IQJ4|g__Cutibacterium.s__Cutibacterium_acnes",12.4269599518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_E6D7Z9",12.4259383383,NA,NA,9.4573077047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4636250681
"UniRef90_E6D7Z9|g__Cutibacterium.s__Cutibacterium_acnes",12.4259383383,NA,NA,9.4573077047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4636250681
"UniRef90_W4TQ61",12.4223602484,NA,NA,NA,NA,NA,NA,NA,18.7151057639,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_W4TQ61|unclassified",12.4223602484,NA,NA,NA,NA,NA,NA,NA,6.3694267516,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_E6D9N6",12.4199529516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.3121271781
"UniRef90_E6D9N6|g__Cutibacterium.s__Cutibacterium_acnes",12.4199529516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.3121271781
"UniRef90_W4U5K6",12.4188904615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_W4U5K6|unclassified",12.4188904615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_U7M8J8",12.4067205822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7601945164
"UniRef90_U7M8J8|g__Cutibacterium.s__Cutibacterium_acnes",12.4067205822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7601945164
"UniRef90_D4HCI7",12.3863910476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.429437894
"UniRef90_D4HCI7|g__Cutibacterium.s__Cutibacterium_acnes",12.3863910476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.429437894
"UniRef90_W4U9R1",12.3633879781,NA,NA,13.2699905825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_W4U9R1|g__Cutibacterium.s__Cutibacterium_acnes",12.3633879781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_W4TUU0",12.3509077047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4352557848,NA,NA,16.5787059858
"UniRef90_W4TUU0|g__Cutibacterium.s__Cutibacterium_acnes",12.3509077047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4352557848,NA,NA,16.5787059858
"UniRef90_W4TKY2",12.3496845397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8803411657,NA,NA,9.958989757
"UniRef90_W4TKY2|g__Cutibacterium.s__Cutibacterium_acnes",12.3496845397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8803411657,NA,NA,9.958989757
"UniRef90_G7PQJ1",12.34839046,NA,NA,4.9019297792,NA,NA,13.3400650392,3.6234091894,NA,2.7615523003,4.8892322048,NA,NA,43.6750816827,13.3686838676,11.3396993212,12.1475141984
"UniRef90_G7PQJ1|unclassified",12.34839046,NA,NA,4.9019297792,NA,NA,13.3400650392,3.6234091894,NA,2.7615523003,4.8892322048,NA,NA,43.6750816827,13.3686838676,11.3396993212,12.1475141984
"UniRef90_G7P7A4",12.3456790123,NA,NA,NA,NA,NA,75.9493670886,NA,NA,NA,23.8095238095,NA,NA,23.8095238095,NA,NA,12.6582278481
"UniRef90_G7P7A4|unclassified",12.3456790123,NA,NA,NA,NA,NA,75.9493670886,NA,NA,NA,23.8095238095,NA,NA,23.8095238095,NA,NA,12.6582278481
"UniRef90_W4UGK5",12.3456790123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.605841614
"UniRef90_W4UGK5|g__Cutibacterium.s__Cutibacterium_acnes",12.3456790123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.605841614
"UniRef90_A0A1A9AED0",12.3441271945,NA,NA,NA,NA,NA,13.4659216093,NA,NA,NA,NA,NA,NA,40.7267138077,8.7257457098,NA,24.61099054
"UniRef90_A0A1A9AED0|unclassified",12.3441271945,NA,NA,NA,NA,NA,13.4659216093,NA,NA,NA,NA,NA,NA,40.7267138077,8.7257457098,NA,24.61099054
"UniRef90_A0A0M3DFF5",12.3320006499,NA,NA,NA,NA,40.3902696986,27.2467532468,20.7369844779,NA,18.8094529204,6.3781846569,NA,NA,40.8874705383,NA,5.7179446587,6.1670042529
"UniRef90_A0A0M3DFF5|unclassified",12.3320006499,NA,NA,NA,NA,40.3902696986,27.2467532468,20.7369844779,NA,18.8094529204,6.3781846569,NA,NA,40.8874705383,NA,5.7179446587,6.1670042529
"UniRef90_W4U6R6",12.3307501604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.2313303016
"UniRef90_W4U6R6|g__Cutibacterium.s__Cutibacterium_acnes",12.3307501604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.2313303016
"UniRef90_A0A1N4XLF4",12.3304430556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_A0A1N4XLF4|unclassified",12.3304430556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_Q6AAU8",12.3299836243,NA,NA,NA,NA,NA,12.1931888819,NA,NA,NA,NA,NA,NA,34.7288146356,NA,NA,27.1222358405
"UniRef90_Q6AAU8|g__Cutibacterium.s__Cutibacterium_acnes",12.3299836243,NA,NA,NA,NA,NA,12.1931888819,NA,NA,NA,NA,NA,NA,34.7288146356,NA,NA,27.1222358405
"UniRef90_D4HC49",12.3296892398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0882088209
"UniRef90_D4HC49|g__Cutibacterium.s__Cutibacterium_acnes",12.3296892398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0882088209
"UniRef90_U7IVE5",12.3200745168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8734644853,NA,NA,16.5928896102
"UniRef90_U7IVE5|g__Cutibacterium.s__Cutibacterium_acnes",12.3200745168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8734644853,NA,NA,16.5928896102
"UniRef90_W4U2K4",12.3078088313,NA,NA,NA,NA,NA,12.2699386503,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3078088313
"UniRef90_W4U2K4|g__Cutibacterium.s__Cutibacterium_acnes",12.3078088313,NA,NA,NA,NA,NA,12.2699386503,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3078088313
"UniRef90_W4UMQ3",12.3051560951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.0466925801
"UniRef90_W4UMQ3|g__Cutibacterium.s__Cutibacterium_acnes",12.3051560951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.0466925801
"UniRef90_W4U8H5",12.2971315008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_W4U8H5|g__Cutibacterium.s__Cutibacterium_acnes",12.2971315008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_Q6A8P4",12.2805385691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_Q6A8P4|g__Cutibacterium.s__Cutibacterium_acnes",12.2805385691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_A0A140IHB5",12.2699386503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_A0A140IHB5|unclassified",12.2699386503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_A0A1E3ET87",12.2699386503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_A0A1E3ET87|unclassified",12.2699386503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_W4U9U6",12.2670976688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.0493111013
"UniRef90_W4U9U6|g__Cutibacterium.s__Cutibacterium_acnes",12.2670976688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.0493111013
"UniRef90_A0A371N8S8",12.2626272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4475291518
"UniRef90_A0A371N8S8|g__Cutibacterium.s__Cutibacterium_acnes",12.2626272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4475291518
"UniRef90_D4HEY7",12.260323641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_D4HEY7|g__Cutibacterium.s__Cutibacterium_acnes",12.260323641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_W4UKF4",12.2548099672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_W4UKF4|unclassified",12.2548099672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_W4U018",12.2531481769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_W4U018|g__Cutibacterium.s__Cutibacterium_acnes",12.2531481769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_W4UCN5",12.2470457289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1941031337,NA,NA,18.5696758235
"UniRef90_W4UCN5|g__Cutibacterium.s__Cutibacterium_acnes",12.2470457289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1941031337,NA,NA,18.5696758235
"UniRef90_W4UB15",12.2362429172,NA,8,NA,NA,21.2631578947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_W4UB15|g__Cutibacterium.s__Cutibacterium_acnes",7.7519379845,NA,8,NA,NA,21.2631578947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_W4UB15|unclassified",4.4843049327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_F9NWC1",12.2359271653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.0436922517
"UniRef90_F9NWC1|g__Cutibacterium.s__Cutibacterium_acnes",12.2359271653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.0436922517
"UniRef90_U7M7D0",12.235901998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4733185986
"UniRef90_U7M7D0|g__Cutibacterium.s__Cutibacterium_acnes",12.235901998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4733185986
"UniRef90_W4TWN0",12.2274363197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.1615835807,NA,NA,21.2380708777
"UniRef90_W4TWN0|g__Cutibacterium.s__Cutibacterium_acnes",12.2274363197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.1615835807,NA,NA,21.2380708777
"UniRef90_Q6A7A2",12.2273925962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7035180363
"UniRef90_Q6A7A2|unclassified",12.2273925962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_A0A3D8ZQ09",12.2214892993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.0496553578
"UniRef90_A0A3D8ZQ09|g__Cutibacterium.s__Cutibacterium_acnes",12.2214892993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.0496553578
"UniRef90_W4TQJ1",12.2096939268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_W4TQJ1|g__Cutibacterium.s__Cutibacterium_acnes",12.2096939268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_W4U949",12.2056427134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.5873120596
"UniRef90_W4U949|unclassified",12.2056427134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.5873120596
"UniRef90_W4U278",12.2052113421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5278773595
"UniRef90_W4U278|g__Cutibacterium.s__Cutibacterium_acnes",12.2052113421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5278773595
"UniRef90_UPI000941437C",12.2040427496,NA,7.929906049,6.9565829333,5.903823411,11.3081287612,32.577329331,4.4684610402,18.9574725292,8.1054259905,14.3430303739,11.7177949074,8.422636295,89.3165910201,13.00810786,28.9949087747,28.6764370683
"UniRef90_UPI000941437C|unclassified",12.2040427496,NA,7.929906049,6.9565829333,5.903823411,11.3081287612,32.577329331,4.4684610402,18.9574725292,8.1054259905,14.3430303739,11.7177949074,8.422636295,89.3165910201,13.00810786,28.9949087747,28.6764370683
"UniRef90_W4U8I6",12.2039159195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_W4U8I6|g__Cutibacterium.s__Cutibacterium_acnes",12.2039159195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_Q6AB05",12.1992093897,NA,NA,NA,NA,NA,12.2127056399,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.754711187
"UniRef90_Q6AB05|g__Cutibacterium.s__Cutibacterium_acnes",12.1992093897,NA,NA,NA,NA,NA,12.2127056399,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.754711187
"UniRef90_A0A0V1G8J4",12.1951219512,NA,24.3902439024,12.6582278481,NA,NA,82.796719642,NA,48.4866294446,NA,20.2641895087,NA,NA,14.4638027387,46.954103363,23.8095238095,54.4641687948
"UniRef90_A0A0V1G8J4|unclassified",12.1951219512,NA,24.3902439024,12.6582278481,NA,NA,82.796719642,NA,48.4866294446,NA,20.2641895087,NA,NA,14.4638027387,46.954103363,23.8095238095,54.4641687948
"UniRef90_W4UD58",12.1908754295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_W4UD58|g__Cutibacterium.s__Cutibacterium_acnes",12.1908754295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_U7MAX3",12.1709259229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.4874998157
"UniRef90_U7MAX3|g__Cutibacterium.s__Cutibacterium_acnes",12.1709259229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.4874998157
"UniRef90_U7M5Y2",12.1705299766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_U7M5Y2|g__Cutibacterium.s__Cutibacterium_acnes",12.1705299766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_W4UAN8",12.164988958,19.2560502862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.6456324404
"UniRef90_W4UAN8|g__Cutibacterium.s__Cutibacterium_acnes",12.164988958,19.2560502862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.6456324404
"UniRef90_W4TSP6",12.1638736894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.7625181322
"UniRef90_W4TSP6|g__Cutibacterium.s__Cutibacterium_acnes",12.1638736894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.7625181322
"UniRef90_A0A371N8P3",12.1621917008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.3129158392
"UniRef90_A0A371N8P3|g__Cutibacterium.s__Cutibacterium_acnes",12.1621917008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.3129158392
"UniRef90_G4CV16",12.1501769557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_G4CV16|g__Cutibacterium.s__Cutibacterium_acnes",12.1501769557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_W4TXH0",12.14170059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_W4TXH0|g__Cutibacterium.s__Cutibacterium_acnes",12.14170059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_W4TVV5",12.1364679727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6659987114
"UniRef90_W4TVV5|g__Cutibacterium.s__Cutibacterium_acnes",12.1364679727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UniRef90_W4U3R8",12.1271776144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1205141603
"UniRef90_W4U3R8|g__Cutibacterium.s__Cutibacterium_acnes",12.1271776144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1550487476
"UniRef90_B6FNX2",12.1212121212,NA,NA,NA,NA,NA,NA,NA,NA,11.7995127045,NA,NA,NA,NA,NA,NA,NA
"UniRef90_B6FNX2|unclassified",12.1212121212,NA,NA,NA,NA,NA,NA,NA,NA,11.7995127045,NA,NA,NA,NA,NA,NA,NA
