"term","estimate","std.error","statistic","p.value","padj"
"BuffaHigh:g__Nakaseomyces",12.9771584717865,1.22477295803375,10.5955625380724,3.12456715547137e-26,2.89022461881102e-23
"BuffaHigh:s__.Candida..glabrata",12.9771584717865,1.22477295803375,10.5955625380724,3.12456715547137e-26,2.89022461881102e-23
"BuffaHigh:g__Bulleidia",-4.90143886559761,1.30624715189398,-3.75230587755987,0.000175215497081052,0.161723903805811
"BuffaHigh:s__Bulleidia.sp..zg.1006",-4.90143886559761,1.30624715189398,-3.75230587755987,0.000175215497081052,0.161723903805811
"BuffaHigh:s__Fusobacterium.canifelinum",-4.72754197367142,1.40508297003182,-3.36459986669995,0.000766547375664379,0.705990132986893
"BuffaHigh:c__Erysipelotrichia",-3.13093689071143,1.18200081262626,-2.64884495616791,0.0080767375643547,1
"BuffaHigh:o__Erysipelotrichales",-3.13093689071143,1.18200081262626,-2.64884495616791,0.0080767375643547,1
"BuffaHigh:f__Erysipelotrichaceae",-3.13093689071143,1.18200081262626,-2.64884495616791,0.0080767375643547,1
"BuffaHigh:s__Bacillus.anthracis",-3.69065476347751,1.53865212631534,-2.39862844911907,0.0164566035224489,1
"BuffaHigh:g__Spirosoma",2.81025953698279,1.18673948443507,2.36805092763941,0.017882074225429,1
"BuffaHigh:s__Pyricularia.pennisetigena",-2.30460890903408,0.981414487488283,-2.34825238308049,0.0188617358467286,1
"BuffaHigh:c__Epsilonproteobacteria",-2.15016160588205,1.00493135369001,-2.13961043009242,0.0323862630047008,1
"BuffaHigh:o__Campylobacterales",-2.15016160588205,1.00493135369001,-2.13961043009242,0.0323862630047008,1
"BuffaHigh:s__Burkholderia.cepacia",-3.36908637755548,1.58022384104352,-2.13203110220807,0.033004289794172,1
"BuffaHigh:g__Pseudobutyrivibrio",-2.68000357485297,1.29242594161506,-2.0736225485415,0.0381143793861663,1
"BuffaHigh:s__Pseudobutyrivibrio.xylanivorans",-2.68000357485297,1.29242594161506,-2.0736225485415,0.0381143793861663,1
"BuffaHigh:s__Campylobacter.jejuni",-2.67234570564706,1.31315549306647,-2.03505656394629,0.041845181841541,1
"BuffaHigh:s__Campylobacter.coli",-3.11708034836457,1.5669104553324,-1.98931619720626,0.0466663129831733,1
"BuffaHigh:g__Muribaculum",-3.07402957387908,1.55348312390326,-1.9787981771925,0.0478387338170497,1
"BuffaHigh:s__Muribaculum.intestinale",-3.07402957387908,1.55348312390326,-1.9787981771925,0.0478387338170497,1
"BuffaHigh:s__Bacillus.subtilis",-1.80419656298665,0.91705779719342,-1.96737497735502,0.0491399969288251,1
"BuffaHigh:f__Campylobacteraceae",-1.97627421586146,1.00761657250005,-1.96133556136143,0.049839891545587,1
"BuffaHigh:g__Campylobacter",-1.97627421586146,1.00761657250005,-1.96133556136143,0.049839891545587,1
"BuffaHigh:g__Mobiluncus",-2.66022106496362,1.36418986120136,-1.95003726432985,0.0511716776910783,1
