"strata","time","n.risk","pct.risk","n.event","cum.n.event","n.censor","cum.n.censor","strata_size","Hypoxia"
"Hypoxia=Low",0,74,100,0,0,0,0,74,"Low"
"Hypoxia=Low",5,17,23,11,11,46,46,74,"Low"
"Hypoxia=Low",10,4,5,3,14,10,56,74,"Low"
"Hypoxia=Low",15,1,1,1,15,2,58,74,"Low"
"Hypoxia=Low",20,1,1,0,15,0,58,74,"Low"
"Hypoxia=Low",25,0,0,0,15,1,59,74,"Low"
"Hypoxia=High",0,67,100,0,0,0,0,67,"High"
"Hypoxia=High",5,2,3,17,17,48,48,67,"High"
"Hypoxia=High",10,0,0,1,18,1,49,67,"High"
"Hypoxia=High",15,0,0,0,18,0,49,67,"High"
"Hypoxia=High",20,0,0,0,18,0,49,67,"High"
"Hypoxia=High",25,0,0,0,18,0,49,67,"High"
